FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
05102018     0  15.0   55  1024.8  290    4     AEROPARQUE AERO                                     
05102018     1  15.0   57  1025.3  200    4     AEROPARQUE AERO                                     
05102018     2  13.3   62  1025.8  140    9     AEROPARQUE AERO                                     
05102018     3  12.3   64  1025.5  140   11     AEROPARQUE AERO                                     
05102018     4  12.7   65  1025.3  140   13     AEROPARQUE AERO                                     
05102018     5  12.7   57  1025.3  140    9     AEROPARQUE AERO                                     
05102018     6  12.7   57  1025.3  140    9     AEROPARQUE AERO                                     
05102018     7  12.7   62  1026.4  140    7     AEROPARQUE AERO                                     
05102018     8  12.8   69  1026.5  110   15     AEROPARQUE AERO                                     
05102018     9  13.7   65  1026.7  110   15     AEROPARQUE AERO                                     
05102018    10  14.1   68  1026.8  110   19     AEROPARQUE AERO                                     
05102018    11  15.0   64  1027.0   70   15     AEROPARQUE AERO                                     
05102018    12  14.9   62  1026.7   70    9     AEROPARQUE AERO                                     
05102018    13  15.5   61  1025.9   50   11     AEROPARQUE AERO                                     
05102018    14  16.0   62  1025.2   20   11     AEROPARQUE AERO                                     
05102018    15  15.7   63  1024.1   70   13     AEROPARQUE AERO                                     
05102018    16  16.1   64  1023.4   90   19     AEROPARQUE AERO                                     
05102018    17  15.7   66  1023.0  110   19     AEROPARQUE AERO                                     
05102018    18  15.1   71  1023.1  110   19     AEROPARQUE AERO                                     
05102018    19  14.5   74  1023.2  110   20     AEROPARQUE AERO                                     
05102018    20  13.8   78  1023.5  110   22     AEROPARQUE AERO                                     
05102018    21  13.6   78  1023.4  110   20     AEROPARQUE AERO                                     
05102018    22  13.7   78  1023.3  110   19     AEROPARQUE AERO                                     
05102018    23  13.6   75  1022.9  110   19     AEROPARQUE AERO                                     
05102018     0   6.2   84  1026.9  180   11     AZUL AERO                                           
05102018     1   5.0   88  1027.0  180    6     AZUL AERO                                           
05102018     2   4.2   90  1026.8  230    2     AZUL AERO                                           
05102018     3   3.4   95  1026.6  320    4     AZUL AERO                                           
05102018     4   2.5   97  1026.6  320    4     AZUL AERO                                           
05102018     5   1.2   97  1026.5  320    2     AZUL AERO                                           
05102018     6   1.3   97  1026.7  180    2     AZUL AERO                                           
05102018     7   1.6   97  1026.8  320    2     AZUL AERO                                           
05102018     8   5.4   95  1027.1  320    2     AZUL AERO                                           
05102018     9   9.1   71  1027.2   20    9     AZUL AERO                                           
05102018    10  11.7   62  1027.0   90    6     AZUL AERO                                           
