FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
30012021     0  24.0   76  1006.1  230    4     AEROPARQUE AERO                                     
30012021     1  24.6   73  1006.4  320    6     AEROPARQUE AERO                                     
30012021     2  22.7   84  1006.0  230    6     AEROPARQUE AERO                                     
30012021     3  21.9   88  1006.0  200    4     AEROPARQUE AERO                                     
30012021     4  22.6   82  1006.0  200    4     AEROPARQUE AERO                                     
30012021     5  23.6   75  1006.3  180    9     AEROPARQUE AERO                                     
30012021     6  23.0   68  1007.5  110   13     AEROPARQUE AERO                                     
30012021     7  23.2   68  1007.8  110   11     AEROPARQUE AERO                                     
30012021     8  23.8   61  1008.0  160    9     AEROPARQUE AERO                                     
30012021     9  24.2   57  1008.6  160    9     AEROPARQUE AERO                                     
30012021    10  24.4   60  1010.0  160   11     AEROPARQUE AERO                                     
30012021    11  22.6   64  1010.6  200    9     AEROPARQUE AERO                                     
30012021    12  20.8   76  1010.8  200   15     AEROPARQUE AERO                                     
30012021    13  20.6   79  1011.9  200   15     AEROPARQUE AERO                                     
30012021    14  18.8   95  1011.3  160   20     AEROPARQUE AERO                                     
30012021    15  17.8   87  1010.3  140   30     AEROPARQUE AERO                                     
30012021    16  17.0   99  1009.1  110   35     AEROPARQUE AERO                                     
30012021    17  16.8   89  1010.4  140   19     AEROPARQUE AERO                                     
30012021    18  17.6   87  1011.2  140   22     AEROPARQUE AERO                                     
30012021    19  18.0   82  1010.9  140   28     AEROPARQUE AERO                                     
30012021    20  18.2   76  1012.6  140   20     AEROPARQUE AERO                                     
30012021    21  17.2   87  1014.4  140   19     AEROPARQUE AERO                                     
30012021    22  17.9   80  1014.8  140   19     AEROPARQUE AERO                                     
30012021    23  16.3   82  1015.1  160   13     AEROPARQUE AERO                                     
30012021     0  16.8   78  1006.5  180    2     AZUL AERO                                           
30012021     1  17.4   73  1007.0  180    6     AZUL AERO                                           
30012021     2  16.6   78  1006.8  180   11     AZUL AERO                                           
30012021     3  17.2   84  1007.4  140   11     AZUL AERO                                           
30012021     4  17.2   84  1007.5  140   17     AZUL AERO                                           
