FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
08122022     0  28.8   60  1004.3   10   17     AEROPARQUE AERO                                     
08122022     1  28.3   56  1004.2  360   19     AEROPARQUE AERO                                     
08122022     2  28.1   56  1004.9  330   15     AEROPARQUE AERO                                     
08122022     3  24.0   71  1009.4  200   20     AEROPARQUE AERO                                     
08122022     4  22.0   87  1009.4  230    9     AEROPARQUE AERO                                     
08122022     5  23.0   83  1005.8   20   13     AEROPARQUE AERO                                     
08122022     6  24.3   79  1006.3   10   13     AEROPARQUE AERO                                     
08122022     7  25.1   71  1006.6   50    9     AEROPARQUE AERO                                     
08122022     8  25.5   72  1006.7   60    9     AEROPARQUE AERO                                     
08122022     9  26.0   72  1007.0   10    7     AEROPARQUE AERO                                     
08122022    10  26.7   68  1006.9  350    7     AEROPARQUE AERO                                     
08122022    11  27.7   68  1006.8  360    9     AEROPARQUE AERO                                     
08122022    12  29.0   63  1007.0  340   17     AEROPARQUE AERO                                     
08122022    13  32.6   41  1006.5  300   15     AEROPARQUE AERO                                     
08122022    14  33.3   38  1005.8  990    9     AEROPARQUE AERO                                     
08122022    15  33.0   48  1005.2  990    9     AEROPARQUE AERO                                     
08122022    16  31.0   63  1004.7  360   17     AEROPARQUE AERO                                     
08122022    17  31.4   55  1004.3  360   15     AEROPARQUE AERO                                     
08122022    18  31.2   59  1004.0  360   13     AEROPARQUE AERO                                     
08122022    19  30.3   63  1004.2  360   13     AEROPARQUE AERO                                     
08122022    20  29.4   71  1004.4  350    7     AEROPARQUE AERO                                     
08122022    21  28.7   79  1004.9    0    0     AEROPARQUE AERO                                     
08122022    22  28.3   70  1005.6  320    6     AEROPARQUE AERO                                     
08122022    23  28.2   73  1005.7    0    0     AEROPARQUE AERO                                     
08122022     0  20.5   88  1010.2  180   19     AZUL AERO                                           
08122022     1  20.2   78  1009.0  320   22     AZUL AERO                                           
08122022     2  19.8   76  1004.5  360   30     AZUL AERO                                           
08122022     3  20.2   81  1004.5  360   19     AZUL AERO                                           
08122022     4  20.7   79  1004.7  360   17     AZUL AERO                                           
08122022     5  20.1   84  1005.1  360    7     AZUL AERO                                           
08122022     6  19.5   84  1006.5  270    7     AZUL AERO                                           
08122022     7  20.3   82  1007.1  270   13     AZUL AERO                                           
08122022     8  21.6   79  1007.2  270   17     AZUL AERO                                           
08122022     9  23.5   76  1007.6  320   19     AZUL AERO                                           
08122022    10  25.8   66  1007.3  270   17     AZUL AERO                                           
08122022    11  28.0   51  1006.9  270   17     AZUL AERO                                           
08122022    12  29.8   39  1006.4  180    9     AZUL AERO                                           
08122022    13  30.0   34  1006.1  180    9     AZUL AERO                                           
08122022    14  30.8   36  1005.4  180    9     AZUL AERO                                           
08122022    15  31.2   28  1005.4  270   17     AZUL AERO                                           
08122022    16  31.9   24  1004.6  270   20     AZUL AERO                                           
08122022    17  32.1   27  1004.0  320   13     AZUL AERO                                           
08122022    18  32.0   22  1003.7  180   13     AZUL AERO                                           
08122022    19  31.9   23  1003.7  200   11     AZUL AERO                                           
08122022    20  28.8   42  1004.0  290    9     AZUL AERO                                           
08122022    21  24.2   63  1004.4  320    7     AZUL AERO                                           
08122022    22  24.1   54  1004.7  320    9     AZUL AERO                                           
08122022    23  24.3   53  1004.8  320    7     AZUL AERO                                           
08122022     0  20.5   75  1003.0  340   19     BAHIA BLANCA AERO                                   
08122022     1  21.0   70  1003.5  340   20     BAHIA BLANCA AERO                                   
08122022     2  21.1   64  1002.9  340   19     BAHIA BLANCA AERO                                   
08122022     3  22.3   43  1002.9  270   19     BAHIA BLANCA AERO                                   
08122022     4  21.9   44  1003.4  270   19     BAHIA BLANCA AERO                                   
08122022     5  18.2   56  1003.6  290   15     BAHIA BLANCA AERO                                   
08122022     6  19.3   49  1004.6  290   17     BAHIA BLANCA AERO                                   
08122022     7  21.1   45  1006.1  270   17     BAHIA BLANCA AERO                                   
08122022     8  23.2   43  1006.4  270   26     BAHIA BLANCA AERO                                   
08122022     9  24.1   44  1006.6  270   22     BAHIA BLANCA AERO                                   
08122022    10  26.0   37  1006.7  270   33     BAHIA BLANCA AERO                                   
08122022    11  27.3   34  1006.4  290   37     BAHIA BLANCA AERO                                   
08122022    12  27.9   32  1005.8  290   31     BAHIA BLANCA AERO                                   
08122022    13  29.7   27  1005.1  290   33     BAHIA BLANCA AERO                                   
08122022    14  30.5   23  1004.4  270   39     BAHIA BLANCA AERO                                   
08122022    15  31.6   19  1003.4  290   39     BAHIA BLANCA AERO                                   
08122022    16  32.4   17  1003.0  270   37     BAHIA BLANCA AERO                                   
08122022    17  32.6   19  1002.2  270   33     BAHIA BLANCA AERO                                   
08122022    18  33.3   21  1001.5  290   31     BAHIA BLANCA AERO                                   
08122022    19  33.2   21  1000.9  290   24     BAHIA BLANCA AERO                                   
08122022    20  32.2   24  1000.8  290   15     BAHIA BLANCA AERO                                   
08122022    21  27.2   37  1000.8  360   13     BAHIA BLANCA AERO                                   
08122022    22  24.4   50  1001.4  360   15     BAHIA BLANCA AERO                                   
08122022    23  23.5   48  1001.7  340   13     BAHIA BLANCA AERO                                   
08122022     0  10.5   79  1424.0  290   33     BARILOCHE AERO                                      
08122022     1  10.4   81  1419.0  320   28     BARILOCHE AERO                                      
08122022     2  10.9   75  1419.0  290   31     BARILOCHE AERO                                      
08122022     3  10.7   78  1415.0  290   35     BARILOCHE AERO                                      
08122022     4  11.1   69  1418.0  290   39     BARILOCHE AERO                                      
08122022     5  10.7   71  1412.0  290   39     BARILOCHE AERO                                      
08122022     6  10.6   74  1416.0  290   37     BARILOCHE AERO                                      
08122022     7  11.0   79  1419.0  290   31     BARILOCHE AERO                                      
08122022     8  12.3   74  1419.0  290   35     BARILOCHE AERO                                      
08122022     9  13.3   67  1421.0  290   43     BARILOCHE AERO                                      
08122022    10  14.1   61  1425.0  320   46     BARILOCHE AERO                                      
08122022    11  15.2   55  1423.0  320   48     BARILOCHE AERO                                      
08122022    12  15.9   52  1421.0  320   52     BARILOCHE AERO                                      
08122022    13  17.2   47  1422.0  320   54     BARILOCHE AERO                                      
08122022    14  16.8   49  1419.0  320   54     BARILOCHE AERO                                      
08122022    15  17.6   44  1419.0  320   50     BARILOCHE AERO                                      
08122022    16  17.0   49  1415.0  290   48     BARILOCHE AERO                                      
08122022    17  17.4   50  1414.0  320   46     BARILOCHE AERO                                      
08122022    18  15.9   53  1409.0  320   41     BARILOCHE AERO                                      
08122022    19  15.3   61  1404.0  290   39     BARILOCHE AERO                                      
08122022    20  14.9   63  1407.0  290   43     BARILOCHE AERO                                      
08122022    21  14.1   65  1403.0  290   43     BARILOCHE AERO                                      
08122022    22  13.7   65  1404.0  290   46     BARILOCHE AERO                                      
08122022    23  13.2   65  1408.0  290   43     BARILOCHE AERO                                      
08122022     0  -5.2   80   979.6  140   20     BASE BELGRANO II                                    
08122022     3  -5.6   85   978.3  140   17     BASE BELGRANO II                                    
08122022     6  -2.2   79   976.9  140    9     BASE BELGRANO II                                    
08122022     9   2.2   74   975.6   90    4     BASE BELGRANO II                                    
08122022    12    .0   79   975.0    0    0     BASE BELGRANO II                                    
