FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
15122018     0  20.6   40  1015.3  230    9     AEROPARQUE AERO                                     
15122018     1  20.2   43  1015.1  240   11     AEROPARQUE AERO                                     
15122018     2  19.5   44  1015.1  230   13     AEROPARQUE AERO                                     
15122018     3  18.2   51  1015.7  230    7     AEROPARQUE AERO                                     
15122018     4  18.0   53  1016.2  210    7     AEROPARQUE AERO                                     
15122018     5  17.5   57  1016.7  210    7     AEROPARQUE AERO                                     
15122018     6  17.7   55  1017.3  200    6     AEROPARQUE AERO                                     
15122018     7  16.2   74  1018.0  230    4     AEROPARQUE AERO                                     
15122018     8  19.4   60  1018.1  230    6     AEROPARQUE AERO                                     
15122018     9  21.2   49  1018.4    0    0     AEROPARQUE AERO                                     
15122018    10  21.4   55  1018.1  360    7     AEROPARQUE AERO                                     
15122018    11  22.4   52  1018.4  360   13     AEROPARQUE AERO                                     
15122018    12  23.0   57  1019.0  360   13     AEROPARQUE AERO                                     
15122018    13  23.2   57  1019.0  360   13     AEROPARQUE AERO                                     
15122018    14  24.2   72  1018.1  360   11     AEROPARQUE AERO                                     
15122018    15  25.0   49  1017.5  360   13     AEROPARQUE AERO                                     
15122018    16  25.4   41  1016.5  360   13     AEROPARQUE AERO                                     
15122018    17  25.7   43  1016.0   50    9     AEROPARQUE AERO                                     
15122018    18  25.9   38  1015.4   20    7     AEROPARQUE AERO                                     
15122018    19  25.0   48  1014.8   20   11     AEROPARQUE AERO                                     
15122018    20  23.8   61  1014.8   20   11     AEROPARQUE AERO                                     
15122018    21  22.6   60  1015.2  340    7     AEROPARQUE AERO                                     
15122018    22  22.7   67  1015.7  360    6     AEROPARQUE AERO                                     
15122018    23  22.6   68  1015.9  320    7     AEROPARQUE AERO                                     
15122018     0  13.6   75  1015.1  270    9     AZUL AERO                                           
15122018     1  12.6   82  1015.1  290    9     AZUL AERO                                           
15122018     2  12.0   83  1014.7  270    9     AZUL AERO                                           
15122018     3  13.6   65  1014.6  270    6     AZUL AERO                                           
15122018     4  12.4   72  1014.6  270    7     AZUL AERO                                           
15122018     5  10.6   85  1015.4  290    9     AZUL AERO                                           
15122018     6  11.2   80  1015.4  270    9     AZUL AERO                                           
15122018     7  13.2   75  1015.8  270    7     AZUL AERO                                           
15122018     8  15.8   70  1016.3  290   11     AZUL AERO                                           
15122018     9  19.5   56  1016.7  290   19     AZUL AERO                                           
15122018    11  23.7   41  1016.7  290   24     AZUL AERO                                           
15122018    12  24.8   39  1016.4  290   24     AZUL AERO                                           
15122018    13  25.8   38  1015.9  290   26     AZUL AERO                                           
15122018    14  26.6   26  1015.4  290   28     AZUL AERO                                           
15122018    15  26.9   27  1014.4  290   28     AZUL AERO                                           
15122018    16  25.4   28  1013.9  290   26     AZUL AERO                                           
15122018    17  27.5   24  1013.3  320   24     AZUL AERO                                           
15122018    18  26.8   28  1012.8  340   22     AZUL AERO                                           
15122018    19  26.8   29  1012.4  320   15     AZUL AERO                                           
15122018    20  23.4   44  1012.3  320   11     AZUL AERO                                           
15122018    21  21.0   53  1012.3  320   11     AZUL AERO                                           
15122018    22  20.2   56  1012.8  340   11     AZUL AERO                                           
15122018    23  19.5   60  1012.8  340   17     AZUL AERO                                           
15122018     0  11.7   87  1014.8  320   19     BAHIA BLANCA AERO                                   
15122018     1  11.6   69  1014.2  340   15     BAHIA BLANCA AERO                                   
15122018     2  12.3   69  1013.8  320   19     BAHIA BLANCA AERO                                   
15122018     3  12.3   79  1013.9  340   19     BAHIA BLANCA AERO                                   
15122018     4  12.0   83  1013.8  320   19     BAHIA BLANCA AERO                                   
15122018     5  11.6   89  1013.5  320   19     BAHIA BLANCA AERO                                   
15122018     6  12.5   83  1013.8  340   17     BAHIA BLANCA AERO                                   
15122018     7  15.4   61  1014.0  290   20     BAHIA BLANCA AERO                                   
15122018     8  17.8   48  1014.2  270   22     BAHIA BLANCA AERO                                   
15122018     9  19.2   39  1014.1  290   22     BAHIA BLANCA AERO                                   
15122018    10  21.8   38  1013.9  290   22     BAHIA BLANCA AERO                                   
15122018    11  24.4   35  1014.2  290   28     BAHIA BLANCA AERO                                   
15122018    12  26.2   26  1014.1  290   30     BAHIA BLANCA AERO                                   
15122018    13  27.7   22  1013.4  290   31     BAHIA BLANCA AERO                                   
15122018    14  28.8   21  1012.7  270   31     BAHIA BLANCA AERO                                   
15122018    15  29.8   20  1011.8  270   31     BAHIA BLANCA AERO                                   
15122018    16  30.3   20  1010.8  290   33     BAHIA BLANCA AERO                                   
15122018    17  31.1   18  1010.0  270   31     BAHIA BLANCA AERO                                   
15122018    18  31.3   18  1008.9  290   30     BAHIA BLANCA AERO                                   
15122018    19  30.6   17  1008.3  290   28     BAHIA BLANCA AERO                                   
15122018    20  28.8   19  1008.0  290   15     BAHIA BLANCA AERO                                   
15122018    21  25.9   27  1008.5  320   17     BAHIA BLANCA AERO                                   
15122018    22  22.6   36  1009.0  340   17     BAHIA BLANCA AERO                                   
15122018    23  21.0   42  1009.0  320   19     BAHIA BLANCA AERO                                   
15122018     0   8.0   51  1526.0  290   24     BARILOCHE AERO                                      
15122018     1   7.2   58  1522.0  290   20     BARILOCHE AERO                                      
15122018     2   6.9   68  1516.0  290   20     BARILOCHE AERO                                      
15122018     3   7.1   69  1512.0  290   26     BARILOCHE AERO                                      
15122018     4   6.2   74  1509.0  290   26     BARILOCHE AERO                                      
15122018     5   6.8   70  1505.0  290   33     BARILOCHE AERO                                      
15122018     6   6.9   70  1503.0  290   20     BARILOCHE AERO                                      
15122018     7   6.2   71  1502.0  270   13     BARILOCHE AERO                                      
15122018     8   8.8   62  1503.0  290   26     BARILOCHE AERO                                      
15122018     9  10.3   54  1498.0  290   37     BARILOCHE AERO                                      
15122018    10  11.9   44  1494.0  290   37     BARILOCHE AERO                                      
15122018    11  13.9   34  1490.0  290   35     BARILOCHE AERO                                      
15122018    12  15.5   36  1487.0  290   44     BARILOCHE AERO                                      
15122018    13  17.0   39  1487.0  290   43     BARILOCHE AERO                                      
15122018    14  18.1   38  1485.0  290   41     BARILOCHE AERO                                      
15122018    15  19.2   37  1483.0  320   39     BARILOCHE AERO                                      
15122018    16  19.6   37  1481.0  290   46     BARILOCHE AERO                                      
15122018    17  17.8   44  1481.0  290   43     BARILOCHE AERO                                      
15122018    18  16.2   48  1472.0  320   46     BARILOCHE AERO                                      
15122018    19  13.8   59  1466.0  290   46     BARILOCHE AERO                                      
15122018    20  13.0   62  1471.0  320   48     BARILOCHE AERO                                      
15122018    21  12.4   65  1468.0  320   39     BARILOCHE AERO                                      
15122018    22  12.2   65  1469.0  290   44     BARILOCHE AERO                                      
15122018    23  12.7   69  1477.0  290   39     BARILOCHE AERO                                      
15122018     0  -5.0   96   977.7  250   33     BASE BELGRANO II                                    
15122018     3  -5.4   95   979.0  320   37     BASE BELGRANO II                                    
15122018     6  -4.2   73   980.4   20   24     BASE BELGRANO II                                    
15122018     9  -3.2   75   980.4   20   37     BASE BELGRANO II                                    
15122018    12  -3.6   88   980.8  360   37     BASE BELGRANO II                                    
15122018    15  -3.8   89   980.7   20   74     BASE BELGRANO II                                    
15122018    18  -4.3   89   982.0   20   67     BASE BELGRANO II                                    
15122018    21  -3.7   89   984.0   90    6     BASE BELGRANO II                                    
15122018     0   1.8   86   971.4  270   56     BASE CARLINI (EX JUBANY)                            
15122018     3   1.6   89   971.3  270   56     BASE CARLINI (EX JUBANY)                            
15122018     6   1.9   86   970.8  270   52     BASE CARLINI (EX JUBANY)                            
15122018     9   1.3   87   970.5  270   44     BASE CARLINI (EX JUBANY)                            
15122018    12   2.1   84   970.2  270   41     BASE CARLINI (EX JUBANY)                            
15122018    15   2.0   81   969.3  270   28     BASE CARLINI (EX JUBANY)                            
15122018    18   2.7   74   968.7  270   19     BASE CARLINI (EX JUBANY)                            
15122018    21   1.8   81   968.0  230   13     BASE CARLINI (EX JUBANY)                            
15122018     0   1.6   84   962.6  270   70     BASE ESPERANZA                                      
15122018     3   2.3   74   964.7  250   35     BASE ESPERANZA                                      
15122018     6   1.9   79   966.6  270   30     BASE ESPERANZA                                      
15122018     9   4.0   68   966.4  230   22     BASE ESPERANZA                                      
15122018    12   3.4   76   966.5  250   20     BASE ESPERANZA                                      
15122018    15   3.9   69   966.6  230   31     BASE ESPERANZA                                      
15122018    18   3.0   65   967.5  200   20     BASE ESPERANZA                                      
15122018    21    .1   63   967.9  180   20     BASE ESPERANZA                                      
15122018     0   -.7   97   961.4  320   37     BASE MARAMBIO                                       
15122018     1   -.1   98   962.1  290   26     BASE MARAMBIO                                       
15122018     2    .3   96   962.2  230   44     BASE MARAMBIO                                       
15122018     3    .1  100   962.3  230   48     BASE MARAMBIO                                       
15122018     4   -.9   97   963.6  230   41     BASE MARAMBIO                                       
15122018     5  -1.0   99   963.4  230   50     BASE MARAMBIO                                       
15122018     6   -.2   92   964.3  250   46     BASE MARAMBIO                                       
15122018     7   -.9   91   965.0  230   37     BASE MARAMBIO                                       
15122018     8  -1.4   94   965.0  230   43     BASE MARAMBIO                                       
15122018     9  -1.4   92   964.7  230   44     BASE MARAMBIO                                       
15122018    10   -.5   90   964.9  230   44     BASE MARAMBIO                                       
15122018    11    .5   78   965.3  230   44     BASE MARAMBIO                                       
15122018    12    .4   80   965.3  230   46     BASE MARAMBIO                                       
15122018    13   -.7   86   965.5  230   52     BASE MARAMBIO                                       
15122018    14   -.9   83   965.7  230   54     BASE MARAMBIO                                       
15122018    15   -.6   82   965.7  230   57     BASE MARAMBIO                                       
15122018    16  -1.4   86   966.5  230   52     BASE MARAMBIO                                       
15122018    17  -1.2   89   966.5  230   61     BASE MARAMBIO                                       
15122018    18  -2.5   92   965.8  230   63     BASE MARAMBIO                                       
15122018    19  -2.3   92   966.1  230   67     BASE MARAMBIO                                       
15122018    20  -2.5   89   966.8  230   56     BASE MARAMBIO                                       
15122018    21  -2.9   95   967.0  230   56     BASE MARAMBIO                                       
15122018    22  -2.9   95   967.0  230   52     BASE MARAMBIO                                       
15122018    23  -3.0   97   967.0  230   48     BASE MARAMBIO                                       
15122018     0   -.2   92   990.3  320   44     BASE ORCADAS                                        
15122018     3    .0   90   986.5  320   44     BASE ORCADAS                                        
15122018     6    .0   92   983.0  340   35     BASE ORCADAS                                        
15122018     9    .4   92   979.6  320   31     BASE ORCADAS                                        
15122018    12   2.1   97   977.7  320   39     BASE ORCADAS                                        
15122018    15   1.8   97   977.2  320   37     BASE ORCADAS                                        
15122018    18   1.2   92   975.9  320   24     BASE ORCADAS                                        
15122018    21    .4   92   974.5  320   20     BASE ORCADAS                                        
15122018     0  -2.5   75   964.9   90   87     BASE SAN MARTIN                                     
15122018     3  -2.9   79   964.7   70   52     BASE SAN MARTIN                                     
15122018     6  -2.0   80   964.5   70   50     BASE SAN MARTIN                                     
15122018     9  -1.2   71   964.7   90   37     BASE SAN MARTIN                                     
15122018    12   1.0   44   964.8   70   26     BASE SAN MARTIN                                     
15122018    15   3.2   31   965.5   50   11     BASE SAN MARTIN                                     
15122018    18   1.2   69   966.7  110   26     BASE SAN MARTIN                                     
15122018    21   -.6   61   967.7  110   26     BASE SAN MARTIN                                     
15122018     9  21.0   52  1014.1  320   24     BENITO JUAREZ AERO                                  
15122018    15  27.8   34  1012.6  320   33     BENITO JUAREZ AERO                                  
15122018    21  22.0   42  1010.5  360    9     BENITO JUAREZ AERO                                  
15122018     6  23.6   70  1549.0  360    4     BERNARDO DE IRIGOYEN AERO                           
15122018     7  24.6   66  1556.0  360    4     BERNARDO DE IRIGOYEN AERO                           
15122018     8  26.0   63  1561.0  360    9     BERNARDO DE IRIGOYEN AERO                           
15122018     9  27.5   60  1567.0  360    9     BERNARDO DE IRIGOYEN AERO                           
15122018    10  27.6   60  1570.0  360   15     BERNARDO DE IRIGOYEN AERO                           
15122018    11  28.0   60  1568.0  360   15     BERNARDO DE IRIGOYEN AERO                           
15122018    12  27.0   66  1565.0  360   15     BERNARDO DE IRIGOYEN AERO                           
