FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
06022023     0  25.8   66  1009.5  310   11     AEROPARQUE AERO                                     
06022023     1  25.2   64  1009.4  310   11     AEROPARQUE AERO                                     
06022023     2  24.5   62  1009.2  310    9     AEROPARQUE AERO                                     
06022023     3  23.2   63  1009.0  310    9     AEROPARQUE AERO                                     
06022023     4  23.9   65  1009.0  310    9     AEROPARQUE AERO                                     
06022023     5  23.6   65  1009.3  300    9     AEROPARQUE AERO                                     
06022023     6  22.6   65  1009.9  310    9     AEROPARQUE AERO                                     
06022023     7  22.9   70  1010.6  320    9     AEROPARQUE AERO                                     
06022023     8  23.8   61  1011.7  320   11     AEROPARQUE AERO                                     
06022023     9  24.5   59  1012.1  330   13     AEROPARQUE AERO                                     
06022023    10  26.5   49  1012.5  340   11     AEROPARQUE AERO                                     
06022023    11  27.4   50  1012.5  350   13     AEROPARQUE AERO                                     
06022023    12  28.5   50  1012.2  360   13     AEROPARQUE AERO                                     
06022023    13  30.2   45  1011.8  360   15     AEROPARQUE AERO                                     
06022023    14  30.5   45  1011.6  360   13     AEROPARQUE AERO                                     
06022023    15  30.6   50  1011.3   30   13     AEROPARQUE AERO                                     
06022023    16  30.5   48  1010.9   50   13     AEROPARQUE AERO                                     
06022023    17  30.5   45  1010.5   60   11     AEROPARQUE AERO                                     
06022023    18  30.1   47  1010.0   50    9     AEROPARQUE AERO                                     
06022023    19  29.4   58  1009.8   20    7     AEROPARQUE AERO                                     
06022023    20  28.2   64  1010.2   30    6     AEROPARQUE AERO                                     
06022023    21  28.0   64  1010.5  320    7     AEROPARQUE AERO                                     
06022023    22  26.9   63  1011.2   90   19     AEROPARQUE AERO                                     
06022023    23  26.1   75  1011.7  100   24     AEROPARQUE AERO                                     
06022023     0  22.3   69  1008.4  320    7     AZUL AERO                                           
06022023     1  21.5   73  1008.9  320    4     AZUL AERO                                           
06022023     2  18.4   88  1009.0  140    4     AZUL AERO                                           
06022023     3  18.2   88  1008.6  320    6     AZUL AERO                                           
06022023     4  19.0   81  1008.4  320    7     AZUL AERO                                           
06022023     5  18.2   83  1008.7  270    2     AZUL AERO                                           
06022023     6  16.1   90  1009.5  180    6     AZUL AERO                                           
06022023     7  16.2   87  1010.5  140    2     AZUL AERO                                           
06022023     8  19.9   83  1011.1   90    2     AZUL AERO                                           
06022023     9  24.2   70  1011.2   90    4     AZUL AERO                                           
06022023    10  26.7   62  1011.5   50   11     AZUL AERO                                           
06022023    11  27.5   58  1011.4   90   11     AZUL AERO                                           
06022023    12  28.0   55  1011.6   90   13     AZUL AERO                                           
06022023    13  28.7   51  1012.1   90   11     AZUL AERO                                           
06022023    14  29.0   51  1012.6   90   11     AZUL AERO                                           
06022023    15  26.8   60  1011.8   70   15     AZUL AERO                                           
06022023    16  25.6   65  1009.9   50   20     AZUL AERO                                           
06022023    17  27.4   60  1010.5   90    9     AZUL AERO                                           
06022023    18  28.1   58  1010.5   70   13     AZUL AERO                                           
06022023    19  26.0   61  1011.1   90   11     AZUL AERO                                           
06022023    20  23.4   65  1011.3   90   24     AZUL AERO                                           
06022023    21  22.0   65  1012.2   90   24     AZUL AERO                                           
06022023    22  20.6   67  1012.6   90   24     AZUL AERO                                           
06022023    23  19.4   70  1012.7   70   26     AZUL AERO                                           
06022023     0  25.1   46  1006.9  160   11     BAHIA BLANCA AERO                                   
06022023     1  23.4   69  1007.5  140   13     BAHIA BLANCA AERO                                   
06022023     2  22.0   72  1007.8  120   24     BAHIA BLANCA AERO                                   
06022023     3  22.0   71  1008.1  110   22     BAHIA BLANCA AERO                                   
06022023     4  21.6   74  1008.0   90   20     BAHIA BLANCA AERO                                   
06022023     5  20.8   75  1008.5   90   33     BAHIA BLANCA AERO                                   
06022023     6  20.8   80  1009.1   90   37     BAHIA BLANCA AERO                                   
06022023     7  20.3   84  1009.8  110   39     BAHIA BLANCA AERO                                   
06022023     8  20.1   84  1010.5  110   44     BAHIA BLANCA AERO                                   
06022023     9  21.1   80  1012.0  110   44     BAHIA BLANCA AERO                                   
06022023    10  23.1   72  1011.5  110   44     BAHIA BLANCA AERO                                   
06022023    11  25.2   59  1011.7  110   43     BAHIA BLANCA AERO                                   
06022023    12  25.8   57  1011.7  110   39     BAHIA BLANCA AERO                                   
06022023    13  27.2   54  1011.4  110   37     BAHIA BLANCA AERO                                   
06022023    14  29.3   47  1011.0  110   43     BAHIA BLANCA AERO                                   
06022023    15  29.4   48  1010.7  110   39     BAHIA BLANCA AERO                                   
06022023    16  29.5   47  1009.7   90   39     BAHIA BLANCA AERO                                   
06022023    17  31.4   43  1009.0   90   37     BAHIA BLANCA AERO                                   
06022023    18  29.0   47  1008.7   90   33     BAHIA BLANCA AERO                                   
06022023    19  25.9   60  1008.2   90   26     BAHIA BLANCA AERO                                   
06022023    20  24.4   51  1008.9   90   33     BAHIA BLANCA AERO                                   
06022023    21  23.6   50  1009.2   90   39     BAHIA BLANCA AERO                                   
06022023    22  22.5   49  1010.9  110   20     BAHIA BLANCA AERO                                   
06022023    23  21.4   52  1011.2   90   28     BAHIA BLANCA AERO                                   
06022023     0  16.5   63  1518.0  290   30     BARILOCHE AERO                                      
06022023     1  15.7   66  1521.0  270   11     BARILOCHE AERO                                      
06022023     2  15.0   72  1518.0  290   19     BARILOCHE AERO                                      
06022023     3  13.0   76  1513.0  270   13     BARILOCHE AERO                                      
06022023     4  10.5   72  1509.0  230    7     BARILOCHE AERO                                      
06022023     5  11.5   76  1506.0  270    9     BARILOCHE AERO                                      
06022023     6   8.9   74  1506.0  180    9     BARILOCHE AERO                                      
06022023     7   7.6   74  1506.0  180    9     BARILOCHE AERO                                      
06022023     8   9.4   68  1508.0  180    7     BARILOCHE AERO                                      
06022023     9  14.8   57  1515.0    0    0     BARILOCHE AERO                                      
06022023    10  17.6   50  1513.0  290   17     BARILOCHE AERO                                      
06022023    11  19.2   43  1511.0  320   15     BARILOCHE AERO                                      
06022023    12  21.1   31  1509.0  320   13     BARILOCHE AERO                                      
06022023    13  23.0   24  1508.0  290   13     BARILOCHE AERO                                      
06022023    14  24.2   19  1504.0  320   13     BARILOCHE AERO                                      
06022023    15  26.1   19  1499.0  290   13     BARILOCHE AERO                                      
06022023    16  27.2   17  1490.0  320   19     BARILOCHE AERO                                      
06022023    17  28.8   16  1488.0  320   24     BARILOCHE AERO                                      
06022023    18  28.6   17  1480.0  290   30     BARILOCHE AERO                                      
06022023    19  27.2   24  1475.0  290   31     BARILOCHE AERO                                      
06022023    20  25.3   29  1477.0  320   30     BARILOCHE AERO                                      
06022023    21  22.0   38  1483.0  290   26     BARILOCHE AERO                                      
06022023    22  20.6   45  1492.0  290   31     BARILOCHE AERO                                      
06022023    23  19.5   48  1498.0  290   22     BARILOCHE AERO                                      
06022023     0  -6.0   77   991.6  140    4     BASE BELGRANO II                                    
06022023     3  -5.6   82   992.3  140    6     BASE BELGRANO II                                    
06022023     6  -4.9   67   993.0  140   11     BASE BELGRANO II                                    
06022023     9  -3.6   74   992.9  160   17     BASE BELGRANO II                                    
06022023    12   -.8   70   992.8   90    9     BASE BELGRANO II                                    
06022023    15  -3.0   75   993.0  140   11     BASE BELGRANO II                                    
06022023    16  -3.4   77   992.9  160   13     BASE BELGRANO II                                    
06022023    18  -6.0   72   993.0  160   20     BASE BELGRANO II                                    
06022023    21  -8.4   72   992.9  160   24     BASE BELGRANO II                                    
06022023     0   1.8   87   986.7  140    4     BASE CARLINI (EX JUBANY)                            
06022023     3   1.4   94   988.2  290   11     BASE CARLINI (EX JUBANY)                            
06022023     6   1.5   96   988.8  320   13     BASE CARLINI (EX JUBANY)                            
06022023     9   2.2   89   988.9  320   15     BASE CARLINI (EX JUBANY)                            
06022023    12   2.4   86   988.7  340   24     BASE CARLINI (EX JUBANY)                            
06022023    15   3.6   80   988.0  320    7     BASE CARLINI (EX JUBANY)                            
06022023    18   3.7   62   986.8   20   20     BASE CARLINI (EX JUBANY)                            
06022023    21   2.7   77   985.1   50   13     BASE CARLINI (EX JUBANY)                            
06022023     0    .7   85   986.3  180   22     BASE ESPERANZA                                      
06022023     3    .2   89   987.4  180   15     BASE ESPERANZA                                      
06022023     6   1.1   72   988.3    0    0     BASE ESPERANZA                                      
06022023     9   1.7   66   988.9  180    6     BASE ESPERANZA                                      
