FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
09112019     0  19.3   81  1015.3  110   28     AEROPARQUE AERO                                     
09112019     1  19.1   83  1015.7  140   26     AEROPARQUE AERO                                     
09112019     2  20.0   85  1015.1  110   31     AEROPARQUE AERO                                     
09112019     3  19.8   81  1015.5  110   31     AEROPARQUE AERO                                     
09112019     4  19.4   82  1016.4  110   22     AEROPARQUE AERO                                     
09112019     5  18.4   76  1017.0  160   15     AEROPARQUE AERO                                     
09112019     6  18.4   73  1017.7  160   24     AEROPARQUE AERO                                     
09112019     7  19.7   76  1017.9  110   26     AEROPARQUE AERO                                     
09112019     8  19.9   77  1017.9   90    9     AEROPARQUE AERO                                     
09112019     9  19.9   81  1017.0   50   11     AEROPARQUE AERO                                     
09112019    10  21.7   70  1016.1   50   15     AEROPARQUE AERO                                     
09112019    11  22.5   72  1016.8   50   15     AEROPARQUE AERO                                     
09112019    12  22.6   70  1016.3   90   26     AEROPARQUE AERO                                     
09112019    13  23.0   67  1016.3   90   19     AEROPARQUE AERO                                     
09112019    14  21.9   77  1016.3   90   20     AEROPARQUE AERO                                     
09112019    15  22.0   78  1015.9   90   28     AEROPARQUE AERO                                     
09112019    16  21.6   77  1015.9   90   28     AEROPARQUE AERO                                     
09112019    17  21.4   73  1016.3   90   30     AEROPARQUE AERO                                     
09112019    18  21.0   73  1016.3  110   26     AEROPARQUE AERO                                     
09112019    19  19.4   78  1016.9  110   31     AEROPARQUE AERO                                     
09112019    20  19.2   78  1017.6  140   33     AEROPARQUE AERO                                     
09112019    21  19.0   77  1018.4  140   33     AEROPARQUE AERO                                     
09112019    22  18.9   75  1019.2  110   31     AEROPARQUE AERO                                     
09112019    23  18.8   74  1019.4  110   31     AEROPARQUE AERO                                     
09112019     0  13.2   80  1017.5   20   13     AZUL AERO                                           
09112019     1  13.1   81  1017.7   50   11     AZUL AERO                                           
09112019     2  12.8   84  1017.1   50    4     AZUL AERO                                           
09112019     3  12.0   88  1016.7   90    6     AZUL AERO                                           
09112019     4  11.8   88  1017.2  100    9     AZUL AERO                                           
09112019     5  10.3   90  1017.5  110    6     AZUL AERO                                           
09112019     6  10.0   91  1018.0  140   15     AZUL AERO                                           
09112019     7  11.8   87  1018.8  110   11     AZUL AERO                                           
09112019     8  14.7   70  1019.2  110   24     AZUL AERO                                           
09112019     9  16.4   61  1019.3  140   15     AZUL AERO                                           
09112019    10  18.4   56  1019.1   90   17     AZUL AERO                                           
09112019    11  20.0   46  1018.9   70   19     AZUL AERO                                           
09112019    12  20.6   42  1018.6  110   13     AZUL AERO                                           
09112019    13  21.8   38  1018.4   90   19     AZUL AERO                                           
09112019    14  22.2   38  1018.0   70   15     AZUL AERO                                           
09112019    15  23.0   40  1017.4   70   13     AZUL AERO                                           
09112019    16  23.0   38  1017.1   70   17     AZUL AERO                                           
09112019    17  22.6   42  1017.2   70   11     AZUL AERO                                           
09112019    18  22.6   41  1017.7   50   15     AZUL AERO                                           
09112019    19  20.4   49  1018.1   50   17     AZUL AERO                                           
09112019    20  18.0   59  1018.8   50   13     AZUL AERO                                           
09112019    21  14.9   62  1019.5   50   17     AZUL AERO                                           
09112019    22  12.2   70  1020.9   90   13     AZUL AERO                                           
09112019    23  10.6   73  1021.3   90   11     AZUL AERO                                           
09112019     0  12.4   86  1019.6  110   11     BAHIA BLANCA AERO                                   
09112019     1  12.1   88  1019.9  110   15     BAHIA BLANCA AERO                                   
09112019     2  11.2   88  1019.6  110   13     BAHIA BLANCA AERO                                   
09112019     3  10.3   90  1019.3  110   15     BAHIA BLANCA AERO                                   
09112019     4   9.7   92  1019.7  110   13     BAHIA BLANCA AERO                                   
09112019     5   9.5   94  1019.9  110   15     BAHIA BLANCA AERO                                   
09112019     6   8.7   92  1020.6  110   11     BAHIA BLANCA AERO                                   
09112019     7  10.0   87  1021.3   70   17     BAHIA BLANCA AERO                                   
09112019     8  12.7   77  1021.4   70   26     BAHIA BLANCA AERO                                   
09112019     9  14.8   64  1020.5   70   28     BAHIA BLANCA AERO                                   
09112019    10  17.4   55  1020.6   70   22     BAHIA BLANCA AERO                                   
09112019    11  19.9   47  1020.7   90   17     BAHIA BLANCA AERO                                   
09112019    12  21.0   42  1020.2   70   13     BAHIA BLANCA AERO                                   
09112019    13  22.9   36  1019.4  110   13     BAHIA BLANCA AERO                                   
09112019    14  24.0   34  1018.8   50   11     BAHIA BLANCA AERO                                   
09112019    15  24.2   32  1018.0  180    7     BAHIA BLANCA AERO                                   
09112019    16  24.7   31  1017.2   70    7     BAHIA BLANCA AERO                                   
09112019    17  23.6   38  1017.2  160   28     BAHIA BLANCA AERO                                   
09112019    18  23.0   40  1017.4  160   26     BAHIA BLANCA AERO                                   
09112019    19  21.4   49  1017.4  140   26     BAHIA BLANCA AERO                                   
09112019    20  18.7   50  1018.2  140   22     BAHIA BLANCA AERO                                   
09112019    21  15.6   60  1019.4  140   15     BAHIA BLANCA AERO                                   
09112019    22  14.4   66  1020.2   90   17     BAHIA BLANCA AERO                                   
09112019    23  13.6   67  1020.2   90   20     BAHIA BLANCA AERO                                   
09112019     0   5.5   61  1504.0  140    6     BARILOCHE AERO                                      
09112019     1   5.2   53  1508.0  180   11     BARILOCHE AERO                                      
09112019     2   5.0   54  1507.0  180   11     BARILOCHE AERO                                      
09112019     3   3.7   58  1508.0  180   11     BARILOCHE AERO                                      
09112019     4   2.9   60  1509.0  200    4     BARILOCHE AERO                                      
09112019     5   2.2   64  1511.0  180   13     BARILOCHE AERO                                      
09112019     6   2.6   63  1512.0  160    7     BARILOCHE AERO                                      
09112019     7   2.2   67  1514.0  180    4     BARILOCHE AERO                                      
09112019     8   7.8   52  1521.0  140    7     BARILOCHE AERO                                      
09112019     9  10.5   51  1523.0    0    0     BARILOCHE AERO                                      
09112019    10  14.4   35  1525.0    0    0     BARILOCHE AERO                                      
09112019    11  16.7   25  1520.0  160    6     BARILOCHE AERO                                      
09112019    12  17.7   27  1514.0  340   13     BARILOCHE AERO                                      
09112019    13  18.8   25  1511.0  270    9     BARILOCHE AERO                                      
09112019    14  20.2   21  1508.0  270   17     BARILOCHE AERO                                      
09112019    15  21.1   21  1503.0  320    9     BARILOCHE AERO                                      
09112019    16  21.9   20  1500.0  320    9     BARILOCHE AERO                                      
09112019    17  22.3   18  1500.0  290   19     BARILOCHE AERO                                      
09112019    18  21.6   21  1499.0  290   19     BARILOCHE AERO                                      
09112019    19  19.4   30  1497.0  290   26     BARILOCHE AERO                                      
09112019    20  17.3   41  1505.0  290   15     BARILOCHE AERO                                      
09112019    22  14.9   49  1524.0  990    6     BARILOCHE AERO                                      
09112019     0  -9.2   92   990.3  340   33     BASE BELGRANO II                                    
09112019     3  -8.8   92   989.4  320   22     BASE BELGRANO II                                    
09112019     6  -8.2   93   988.3  340   11     BASE BELGRANO II                                    
09112019     9  -5.8   95   986.4   50    4     BASE BELGRANO II                                    
09112019    12  -2.0   98   985.1  360    6     BASE BELGRANO II                                    
09112019    15  -7.0   93   984.5    0    0     BASE BELGRANO II                                    
09112019    18  -8.6   92   983.3  320    7     BASE BELGRANO II                                    
09112019    21  -8.6   92   982.2   50    6     BASE BELGRANO II                                    
09112019     0  -1.5   71  1003.9  230   19     BASE CARLINI (EX JUBANY)                            
09112019     3  -2.2   75  1004.2  290   22     BASE CARLINI (EX JUBANY)                            
09112019     6  -2.4   75  1005.0  270   15     BASE CARLINI (EX JUBANY)                            
09112019     9  -2.2   83  1004.9  290   20     BASE CARLINI (EX JUBANY)                            
09112019    12  -1.5   76  1004.7  250   20     BASE CARLINI (EX JUBANY)                            
09112019    15   -.9   80  1003.8  290   43     BASE CARLINI (EX JUBANY)                            
09112019    18  -1.5   86  1002.6  270   46     BASE CARLINI (EX JUBANY)                            
09112019    21   -.7   92   999.9  290   48     BASE CARLINI (EX JUBANY)                            
09112019     0  -7.4   93  1002.5  180    7     BASE ESPERANZA                                      
09112019     3  -8.4   93  1002.2  140   13     BASE ESPERANZA                                      
09112019     6  -7.2   93  1002.1  200    4     BASE ESPERANZA                                      
09112019     9   -.4   94  1000.7   50    4     BASE ESPERANZA                                      
09112019    12   1.2   71   998.9   90    7     BASE ESPERANZA                                      
09112019    15   1.8   61   996.1   50   11     BASE ESPERANZA                                      
09112019    18    .4   85   993.5   50   13     BASE ESPERANZA                                      
09112019    21   -.8   83   991.0   90    7     BASE ESPERANZA                                      
09112019     0 -12.9   89  1002.3  200   15     BASE MARAMBIO                                       
09112019     1 -12.5   89  1002.0  270   15     BASE MARAMBIO                                       
09112019     2 -10.9   90  1001.7  290   20     BASE MARAMBIO                                       
09112019     3 -10.4   90  1002.0  320   19     BASE MARAMBIO                                       
09112019     4  -9.9   91  1001.8  320   17     BASE MARAMBIO                                       
09112019     5  -9.2   92  1001.3  320   22     BASE MARAMBIO                                       
09112019     6  -8.3   93  1001.4  320   22     BASE MARAMBIO                                       
09112019     7  -7.8   93  1001.1  320   20     BASE MARAMBIO                                       
09112019     8  -7.6   93  1000.6  320   22     BASE MARAMBIO                                       
09112019     9  -6.0   89  1000.2  320   20     BASE MARAMBIO                                       
09112019    10  -5.8   89   999.6  320   20     BASE MARAMBIO                                       
09112019    11  -5.4   93   999.2  320   19     BASE MARAMBIO                                       
09112019    12  -3.4   94   998.5  320   19     BASE MARAMBIO                                       
09112019    13  -2.8   93   997.6  320   20     BASE MARAMBIO                                       
09112019    14  -1.6   82   996.5  320   20     BASE MARAMBIO                                       
09112019    15  -1.0   79   995.7  320   20     BASE MARAMBIO                                       
09112019    16  -1.9   80   994.9  320   20     BASE MARAMBIO                                       
09112019    17   -.2   75   993.8  320   17     BASE MARAMBIO                                       
09112019    18   -.9   80   992.8  320   22     BASE MARAMBIO                                       
09112019    19  -1.5   85   992.2  320   20     BASE MARAMBIO                                       
09112019    20  -1.9   88   991.0  320   19     BASE MARAMBIO                                       
09112019    21  -1.1   89   990.1  290   19     BASE MARAMBIO                                       
09112019    22   -.9   93   989.1  320   19     BASE MARAMBIO                                       
09112019    23  -1.0   73   987.9  320   17     BASE MARAMBIO                                       
09112019     0  -4.4   98   989.7  110   22     BASE ORCADAS                                        
09112019     3  -4.0   98   990.9  140   37     BASE ORCADAS                                        
09112019     6  -3.8   98   993.7  140   30     BASE ORCADAS                                        
09112019     9  -3.2   98   995.9  160   26     BASE ORCADAS                                        
09112019    12  -3.0   96   997.6  140   24     BASE ORCADAS                                        
09112019    15  -3.4   95   998.7   70   13     BASE ORCADAS                                        
09112019    18  -4.2   93   999.3   50    9     BASE ORCADAS                                        
09112019    21  -5.0   89   999.3  230    7     BASE ORCADAS                                        
09112019     0  -5.0   89  1006.1  320   11     BASE SAN MARTIN                                     
09112019     3  -5.6   92  1005.9  320   15     BASE SAN MARTIN                                     
09112019     6  -5.0   95  1005.4  360   11     BASE SAN MARTIN                                     
09112019     9  -3.6   90  1003.4   50    9     BASE SAN MARTIN                                     
09112019    12  -2.6   82   999.9  180    9     BASE SAN MARTIN                                     
09112019    15  -1.8   90   996.9  180    7     BASE SAN MARTIN                                     
09112019    18   2.0   82   994.4  360   35     BASE SAN MARTIN                                     
09112019    21   2.0   65   990.2  360   26     BASE SAN MARTIN                                     
09112019     9  11.6   93  1020.2   90   24     BENITO JUAREZ AERO                                  
09112019    15  22.4   42  1017.1  140   15     BENITO JUAREZ AERO                                  
09112019    21  13.6   49  1019.0   90   15     BENITO JUAREZ AERO                                  
09112019     6  19.8   89  1499.0  360   15     BERNARDO DE IRIGOYEN AERO                           
09112019     7  20.6   88  1509.0   50   15     BERNARDO DE IRIGOYEN AERO                           
09112019     8  21.8   83  1517.0  360   15     BERNARDO DE IRIGOYEN AERO                           
09112019     9  22.8   82  1520.0  360   15     BERNARDO DE IRIGOYEN AERO                           
09112019    10  24.2   77  1517.0   20   15     BERNARDO DE IRIGOYEN AERO                           
09112019    11  24.2   78  1516.0  360   15     BERNARDO DE IRIGOYEN AERO                           
09112019    12  26.5   68  1509.0  360   15     BERNARDO DE IRIGOYEN AERO                           
09112019    13  26.5   67  1500.0  360    9     BERNARDO DE IRIGOYEN AERO                           
09112019    14  27.6   65  1494.0   50    9     BERNARDO DE IRIGOYEN AERO                           
09112019    15  26.7   68  1482.0  360    9     BERNARDO DE IRIGOYEN AERO                           
09112019    16  27.7   62  1476.0  360    9     BERNARDO DE IRIGOYEN AERO                           
09112019    17  27.0   64  1479.0  360    9     BERNARDO DE IRIGOYEN AERO                           
09112019    18  25.3   75  1481.0  320    4     BERNARDO DE IRIGOYEN AERO                           
09112019    19  21.6   85  1489.0  180   15     BERNARDO DE IRIGOYEN AERO                           
09112019    20  20.3   86  1491.0  180    9     BERNARDO DE IRIGOYEN AERO                           
09112019    21  20.2   83  1493.0  180    4     BERNARDO DE IRIGOYEN AERO                           
09112019     6   9.8   92  1017.5  140    7     BOLIVAR AERO                                        
09112019     7  11.6   92  1017.8  140    7     BOLIVAR AERO                                        
09112019     8  12.8   86  1018.9  140    7     BOLIVAR AERO                                        
09112019     9  16.0   75  1019.3  140   11     BOLIVAR AERO                                        
09112019    10  18.0   68  1019.2   90   11     BOLIVAR AERO                                        
09112019    11  19.4   60  1019.2   90   15     BOLIVAR AERO                                        
09112019    12  21.2   58  1018.4   90   11     BOLIVAR AERO                                        
09112019    13  22.2   59  1018.0   90    7     BOLIVAR AERO                                        
09112019    14  23.4   53  1017.5   90   15     BOLIVAR AERO                                        
09112019    15  23.8   50  1016.8   90    7     BOLIVAR AERO                                        
09112019    16  24.4   47  1016.5   90   22     BOLIVAR AERO                                        
09112019    17  23.8   43  1016.8   90   22     BOLIVAR AERO                                        
09112019    18  23.0   44  1017.2  140   19     BOLIVAR AERO                                        
09112019    19  21.8   51  1017.5   90   15     BOLIVAR AERO                                        
09112019    20  18.4   65  1018.0    0    0     BOLIVAR AERO                                        
09112019    21  16.4   76  1018.6   90   11     BOLIVAR AERO                                        
09112019     0  19.4   77  1015.2   50   17     BUENOS AIRES OBSERVATORIO                           
09112019     1  19.2   78  1015.7   50   20     BUENOS AIRES OBSERVATORIO                           
09112019     2  19.3   81  1015.0   50   11     BUENOS AIRES OBSERVATORIO                           
09112019     3  20.1   79  1015.3   50   15     BUENOS AIRES OBSERVATORIO                           
09112019     4  19.9   79  1016.4   50    9     BUENOS AIRES OBSERVATORIO                           
09112019     5  18.0   75  1017.0  140   19     BUENOS AIRES OBSERVATORIO                           
09112019     6  18.4   75  1017.6   90   15     BUENOS AIRES OBSERVATORIO                           
09112019     7  19.8   66  1017.8   50    7     BUENOS AIRES OBSERVATORIO                           
09112019     8  18.9   81  1018.1    0    0     BUENOS AIRES OBSERVATORIO                           
09112019     9  19.5   83  1016.7  360   11     BUENOS AIRES OBSERVATORIO                           
09112019    10  22.9   70  1015.9  320   15     BUENOS AIRES OBSERVATORIO                           
09112019    11  24.4   62  1016.5  140   17     BUENOS AIRES OBSERVATORIO                           
09112019    12  25.0   57  1016.7   90    9     BUENOS AIRES OBSERVATORIO                           
09112019    13  24.8   56  1015.7  140    4     BUENOS AIRES OBSERVATORIO                           
09112019    14  25.2   56  1015.5   90   11     BUENOS AIRES OBSERVATORIO                           
09112019    15  25.0   59  1015.5   50   19     BUENOS AIRES OBSERVATORIO                           
09112019    16  24.1   58  1015.5   90    6     BUENOS AIRES OBSERVATORIO                           
09112019    17  22.8   62  1016.1   50    6     BUENOS AIRES OBSERVATORIO                           
09112019    18  22.1   65  1016.2   90   11     BUENOS AIRES OBSERVATORIO                           
09112019    19  19.4   79  1016.5   90   19     BUENOS AIRES OBSERVATORIO                           
09112019    20  19.2   78  1017.3  180    6     BUENOS AIRES OBSERVATORIO                           
09112019    21  19.2   74  1018.2   50   13     BUENOS AIRES OBSERVATORIO                           
09112019    22  19.1   72  1019.2   50   15     BUENOS AIRES OBSERVATORIO                           
09112019    23  19.1   71  1019.3   50   19     BUENOS AIRES OBSERVATORIO                           
09112019     6  17.8   81  1018.1  140    9     CAMPO DE MAYO AERO                                  
09112019     7  17.2   89  1018.8    0    0     CAMPO DE MAYO AERO                                  
09112019     8  17.0   94  1018.4  360    4     CAMPO DE MAYO AERO                                  
09112019     9  18.0   91  1016.2   50    9     CAMPO DE MAYO AERO                                  
09112019    10  22.0   73  1016.3   50    4     CAMPO DE MAYO AERO                                  
09112019    11  23.5   70  1016.9   90    4     CAMPO DE MAYO AERO                                  
09112019    12  23.8   70  1018.6  180    9     CAMPO DE MAYO AERO                                  
09112019    13  24.0   61  1016.2  180    9     CAMPO DE MAYO AERO                                  
09112019    14  24.2   60  1016.0   90    9     CAMPO DE MAYO AERO                                  
09112019    15  23.6   59  1015.8   90    9     CAMPO DE MAYO AERO                                  
09112019    16  22.7   66  1015.8   90   15     CAMPO DE MAYO AERO                                  
09112019    17  22.9   64  1016.1   90   15     CAMPO DE MAYO AERO                                  
09112019    18  22.0   68  1016.4   90    9     CAMPO DE MAYO AERO                                  
09112019    19  21.4   71  1016.9   90    9     CAMPO DE MAYO AERO                                  
09112019    20  19.0   77  1017.7   90   15     CAMPO DE MAYO AERO                                  
09112019    21  18.2   80  1018.5  110   15     CAMPO DE MAYO AERO                                  
09112019     0  28.6   55  1003.7   50   19     CATAMARCA AERO                                      
09112019     1  28.8   54  1003.8   50   13     CATAMARCA AERO                                      
09112019     2  28.4   52  1003.9   50   11     CATAMARCA AERO                                      
09112019     3  26.0   63  1004.5  270    4     CATAMARCA AERO                                      
09112019     4  27.2   53  1004.8  360   11     CATAMARCA AERO                                      
09112019     5  27.2   47  1005.1   50   11     CATAMARCA AERO                                      
09112019     6  25.8   48  1005.8   50   13     CATAMARCA AERO                                      
09112019     7  25.2   53  1007.7  270    6     CATAMARCA AERO                                      
09112019     8  25.4   47  1009.7  180   17     CATAMARCA AERO                                      
09112019     9  26.6   44  1010.0  230   22     CATAMARCA AERO                                      
09112019    10  27.8   41  1010.1  180   11     CATAMARCA AERO                                      
09112019    11  28.8   42  1009.7  230   15     CATAMARCA AERO                                      
09112019    12  27.2   53  1009.7   90   35     CATAMARCA AERO                                      
09112019    13  26.2   55  1009.6   90   24     CATAMARCA AERO                                      
09112019    14  28.8   46  1008.8  140   24     CATAMARCA AERO                                      
09112019    15  28.6   44  1008.6  140   17     CATAMARCA AERO                                      
09112019    16  29.8   44  1008.1   50   31     CATAMARCA AERO                                      
09112019    17  28.2   46  1008.4  360   28     CATAMARCA AERO                                      
09112019    18  27.2   50  1009.2  360   37     CATAMARCA AERO                                      
09112019    19  25.8   51  1010.0  360   39     CATAMARCA AERO                                      
09112019    20  24.8   54  1010.7  360   31     CATAMARCA AERO                                      
09112019    21  24.0   55  1011.6   20   30     CATAMARCA AERO                                      
09112019    22  24.2   56  1012.3   20   30     CATAMARCA AERO                                      
09112019    23  24.6   52  1012.7   20   28     CATAMARCA AERO                                      
09112019     0  22.7   74  1007.7   90    4     CERES AERO                                          
09112019     1  22.2   76  1008.3   90    9     CERES AERO                                          
09112019     2  21.9   77  1008.4  140    9     CERES AERO                                          
09112019     3  22.3   73  1008.1  140    4     CERES AERO                                          
09112019     4  21.6   77  1007.4  110    9     CERES AERO                                          
09112019     5  21.4   81  1007.8  140   15     CERES AERO                                          
09112019     6  21.2   81  1009.6  140    4     CERES AERO                                          
09112019     7  21.2   81  1010.7  140    4     CERES AERO                                          
09112019     8  21.6   77  1012.3  140    4     CERES AERO                                          
09112019     9  21.9   77  1012.1  140    9     CERES AERO                                          
09112019    10  22.6   73  1011.0   90   15     CERES AERO                                          
09112019    11  22.4   78  1012.3   90    4     CERES AERO                                          
09112019    12  23.0   75  1011.9  180   15     CERES AERO                                          
09112019    13  24.2   72  1011.5  140   33     CERES AERO                                          
09112019    14  25.4   64  1011.6  140   24     CERES AERO                                          
09112019    15  27.0   59  1011.3  140   24     CERES AERO                                          
09112019    16  27.0   59  1010.8  140   24     CERES AERO                                          
09112019    17  28.8   50  1010.3  140   24     CERES AERO                                          
09112019    18  28.6   53  1012.0  140   15     CERES AERO                                          
09112019    19  27.2   58  1012.1  140   15     CERES AERO                                          
09112019    20  24.8   67  1012.5  110    9     CERES AERO                                          
09112019    21  22.2   74  1013.6   90    9     CERES AERO                                          
09112019    22  22.0   78  1014.3  110    4     CERES AERO                                          
09112019    23  21.4   79  1014.7   90    4     CERES AERO                                          
09112019     6  23.5   57  1009.1    0    0     CHAMICAL AERO                                       
09112019     7  22.9   60  1010.0    0    0     CHAMICAL AERO                                       
09112019     8  25.0   62  1011.2    0    0     CHAMICAL AERO                                       
09112019     9  25.3   53  1011.6  140   11     CHAMICAL AERO                                       
09112019    10  27.4   46  1011.2    0    0     CHAMICAL AERO                                       
09112019    11  29.0   41  1010.5    0    0     CHAMICAL AERO                                       
09112019    12  29.5   39  1009.6    0    0     CHAMICAL AERO                                       
09112019    13  30.3   36  1008.7    0    0     CHAMICAL AERO                                       
09112019    14  31.3   34  1007.8    0    0     CHAMICAL AERO                                       
09112019    15  31.7   33  1007.3    0    0     CHAMICAL AERO                                       
09112019    16  33.2   33  1006.7   50    4     CHAMICAL AERO                                       
09112019    17  32.2   35  1006.6   50    7     CHAMICAL AERO                                       
09112019    18  30.9   38  1007.1   50   28     CHAMICAL AERO                                       
09112019    19  30.0   40  1007.9   50   22     CHAMICAL AERO                                       
09112019    20  29.0   45  1009.2   50   19     CHAMICAL AERO                                       
09112019     8   6.8   75  1018.1  270    6     CHAPELCO AERO                                       
09112019     9  10.2   63  1018.0    0    0     CHAPELCO AERO                                       
09112019    10  14.4   47  1019.0    0    0     CHAPELCO AERO                                       
09112019    11  15.4   47  1019.3   90   13     CHAPELCO AERO                                       
09112019    12  18.0   32  1018.5   70   13     CHAPELCO AERO                                       
09112019    13  19.4   28  1017.8   70   11     CHAPELCO AERO                                       
09112019    14  21.0   24  1015.1   20   11     CHAPELCO AERO                                       
09112019    15  22.4   23  1014.7  990    6     CHAPELCO AERO                                       
09112019    16  22.4   23  1013.9  140   11     CHAPELCO AERO                                       
09112019    17  23.4   21  1013.7  180    9     CHAPELCO AERO                                       
09112019    18  23.8   21  1013.6  250   19     CHAPELCO AERO                                       
09112019    19  22.8   23  1013.9  250   22     CHAPELCO AERO                                       
09112019    20  20.6   35  1014.4  270   17     CHAPELCO AERO                                       
09112019    21  18.8   38  1015.4  270   20     CHAPELCO AERO                                       
09112019     9  20.0   56  1013.4  270    9     CHEPES                                              
09112019    15  32.0   34  1008.5    0    0     CHEPES                                              
09112019     6  21.1   63  1519.0  180    4     CHILECITO AERO                                      
09112019     7  21.6   55  1533.0  180    9     CHILECITO AERO                                      
09112019     8  22.9   52  1543.0  230    9     CHILECITO AERO                                      
09112019     9  23.7   54  1549.0  180    9     CHILECITO AERO                                      
09112019    10  26.1   48  1546.0  180    9     CHILECITO AERO                                      
09112019    11  27.9   44  1541.0  160   15     CHILECITO AERO                                      
09112019    12  29.1   41  1533.0  200   15     CHILECITO AERO                                      
09112019    13  30.4   39  1523.0  180    9     CHILECITO AERO                                      
09112019    14  30.9   39  1509.0  180    9     CHILECITO AERO                                      
09112019    15  32.2   36  1505.0  160    9     CHILECITO AERO                                      
09112019    17  32.8   37  1494.0  180    9     CHILECITO AERO                                      
09112019    18  32.6   37  1497.0  180    9     CHILECITO AERO                                      
09112019    19  29.5   42  1500.0  180    9     CHILECITO AERO                                      
09112019    20  28.1   46  1507.0  160    9     CHILECITO AERO                                      
09112019     9  13.6   50  1017.8  180    6     CIPOLLETTI                                          
09112019    15  27.5   35  1014.3    0    0     CIPOLLETTI                                          
09112019    21  21.9   58  1014.7    0    0     CIPOLLETTI                                          
09112019     0  10.0   52  1014.6  250   15     COMODORO RIVADAVIA AERO                             
09112019     1   9.5   73  1015.5  240   13     COMODORO RIVADAVIA AERO                             
09112019     2   9.3   78  1016.1  250   13     COMODORO RIVADAVIA AERO                             
09112019     3   8.3   82  1016.6  260   13     COMODORO RIVADAVIA AERO                             
09112019     4   8.4   82  1017.5  250   13     COMODORO RIVADAVIA AERO                             
09112019     5   8.9   83  1018.5  230    9     COMODORO RIVADAVIA AERO                             
09112019     6   9.5   86  1019.5  170    7     COMODORO RIVADAVIA AERO                             
09112019     7  10.0   79  1020.9  140   13     COMODORO RIVADAVIA AERO                             
09112019     8  10.0   72  1021.9  140   11     COMODORO RIVADAVIA AERO                             
09112019     9  10.5   64  1022.7  140   13     COMODORO RIVADAVIA AERO                             
09112019    10  11.3   57  1023.2  140   13     COMODORO RIVADAVIA AERO                             
09112019    11  12.1   63  1023.7  990   11     COMODORO RIVADAVIA AERO                             
09112019    12  12.2   62  1023.8  140   11     COMODORO RIVADAVIA AERO                             
09112019    13  12.3   64  1023.8  990   13     COMODORO RIVADAVIA AERO                             
09112019    14  12.2   60  1024.2  140   17     COMODORO RIVADAVIA AERO                             
09112019    15  12.8   51  1024.4  110   15     COMODORO RIVADAVIA AERO                             
09112019    16  13.7   36  1023.9   70   19     COMODORO RIVADAVIA AERO                             
09112019    17  13.2   42  1023.5   90   22     COMODORO RIVADAVIA AERO                             
09112019    18  12.7   43  1023.8   70   22     COMODORO RIVADAVIA AERO                             
09112019    19  11.8   47  1023.7   50   24     COMODORO RIVADAVIA AERO                             
09112019    20  10.6   59  1024.0   50   22     COMODORO RIVADAVIA AERO                             
09112019    21   9.4   67  1024.5   50   17     COMODORO RIVADAVIA AERO                             
09112019    22   9.4   69  1025.1   50   17     COMODORO RIVADAVIA AERO                             
09112019    23   9.2   74  1025.0   50   19     COMODORO RIVADAVIA AERO                             
09112019     0  22.0   72  1011.2   90    6     CONCORDIA AERO                                      
09112019     1  21.4   74  1011.4   90    6     CONCORDIA AERO                                      
09112019     2  20.4   78  1011.1   90    7     CONCORDIA AERO                                      
09112019     3  19.8   83  1011.4  180    9     CONCORDIA AERO                                      
09112019     4  19.0   91  1011.5  140    9     CONCORDIA AERO                                      
09112019     5  18.0   94  1012.3  180   13     CONCORDIA AERO                                      
09112019     6  18.7   90  1012.9  180   13     CONCORDIA AERO                                      
09112019     7  17.8   94  1013.5  180   15     CONCORDIA AERO                                      
09112019     8  19.9   84  1013.8  140   13     CONCORDIA AERO                                      
09112019     9  22.0   77  1013.9  110   19     CONCORDIA AERO                                      
09112019    10  23.5   73  1013.4   90   19     CONCORDIA AERO                                      
09112019    11  24.1   74  1013.3  140   15     CONCORDIA AERO                                      
09112019    12  25.0   72  1012.7  160   15     CONCORDIA AERO                                      
09112019    13  25.4   67  1013.1  180   20     CONCORDIA AERO                                      
09112019    14  26.2   64  1012.1  180   20     CONCORDIA AERO                                      
09112019    15  26.4   63  1011.9  160   17     CONCORDIA AERO                                      
09112019    16  26.4   63  1011.0  160   17     CONCORDIA AERO                                      
09112019    17  26.5   66  1011.2  160   11     CONCORDIA AERO                                      
09112019    18  26.2   62  1011.5  160   11     CONCORDIA AERO                                      
09112019    19  25.2   64  1012.5  160   11     CONCORDIA AERO                                      
09112019    20  24.0   69  1013.3  160    9     CONCORDIA AERO                                      
09112019    21  23.0   72  1014.1  180    9     CONCORDIA AERO                                      
09112019    22  22.5   71  1015.4  180   11     CONCORDIA AERO                                      
09112019    23  21.6   77  1015.8  180   11     CONCORDIA AERO                                      
09112019     0  21.6   69  1010.2  360    6     CORDOBA AERO                                        
09112019     1  19.5   79  1010.1  360    6     CORDOBA AERO                                        
09112019     2  19.8   80  1010.0  270    6     CORDOBA AERO                                        
09112019     3  21.6   75  1011.0  160   11     CORDOBA AERO                                        
09112019     4  21.1   75  1011.5  180    6     CORDOBA AERO                                        
09112019     5  18.9   89  1011.1  320   11     CORDOBA AERO                                        
09112019     6  18.8   90  1012.0  160   11     CORDOBA AERO                                        
